Speaker,Time,Date,Duration,Statement,Region,High Contracting Party
RUSSIAN FEDERATION,10:23:04,2024-03-07,0:07:54,"Thank you very much , Distinguished Chair . I would like to share a few comments on the question of possible mitigation of risks related to the development and employment of lethal autonomous weapons systems . At this stage we do not see any need to make any comments on the list of bullet points that you proposed because this is our first consideration of this list . And this list requires additional study at the national level and this also applies to the proposals that you presented in the form of a compilation on other questions . We believe that the main objective of our current exercise is our first consideration of the list , exchange of views and expression by Delegations of their priorities on different issues in order to give you , Chair , the possibility to identify specific ideas , proposals , potential measures that eventually could be agreed to on the basis of the principle of consensus by all Delegations . Now on the question of risk mitigation , one of the effective ways of mitigating risks , we consider the following measures . The effective management of the life cycle , organization of different types of tests during all stages of the life cycle including in conditions that will approximate real life conditions ensuring the reliability and failure safe nature of such devices , identifying the criteria of readiness , ensuring a maximum level of protection from non-sanctioned access , the relevant training of operators , priority in the use of technologies of artificial intelligence during the collection and processing of information that is necessary from providing support for decision making on military matters , continued monitoring of the functioning of such systems by operators ensuring the possibility of an emergency shutdown or finalization of any military objectives after a command is issued by the operator and excluding the eventuality that NSAs can lay their hands on these devices that may use them for malicious purposes . We are grateful to you , Distinguished Chair , for presenting partially at least these ideas that are reflected in the compilation that you prepared and we see them on the screen right now and we also see that these considerations are very close to the conclusions that the group made during its work over the past years and as far as we are concerned we would prefer to see specific language proposals be fully in line with the understandings that were reached by the group in previous years in order not to rewrite what we already did in the past and moreover we believe that some of these considerations that we are now seeing on the screen actually duplicate one another and we need to consolidate the text and perhaps merge some of these points . Some of the proposals that we discussed in years past and that still do not enjoy consensus and we do not believe that they will be enjoying consensus at any point . We believe that they can be deleted from this list in order to shorten the list and at the same time ensure that there is a better structure to the text . We agree with those Delegations that spoke before us when they said that such measures to large extent can be clustered under certain thematic issues because some of them relate to ensuring human control . Some of these measures relate to questions of ensuring control during the phase of development . Some of these measures relate to the stage of employment and moreover some of the measures that we see in this list are some represent particular cases and they are part of more general measures , generalized and comprehensive measures . We also in conclusion would like to stress that at this stage we see the value in what we are doing here in terms of considering risk mitigation issues . We see the value in determining possible general measures of such nature and in all of this we believe that specific ways or steps related to risk mitigation as part of these general measures will be left up to states to decide because states are the ones who bear the full responsibility for implementing and complying with relevant international obligations including under international humanitarian law and such measures must simply assist states , parties in ensuring this proper and effective compliance of international law including IHL . Thank you .",Eastern European States,Yes
INDIA,10:31:41,2024-03-07,0:03:45,"Our Delegation would like to address the issues of risk mitigation with regard to lethal autonomous weapons systems and the consequential risks with their development and use . Risk mitigation is a proactive strategy to identify , assess and mitigate potential threats or uncertainties to ensure that we tackle the risks with actionable steps . As technology continues to evolve , the international community will be confronted with the legal , operational and humanitarian challenges posed by the development and use of laws and the associated risks . The challenges necessitate a concerted effort to identify and implement effective risk mitigation measures to ensure that it complies with the principles of international humanitarian law and does not use cause unnecessary suffering or superfluous injuries . We agree that the commitments made by the United States with regard to risk assessment and associated mitigation with the risk could be grouped under the following heads . They were covered extensively yesterday . Unintended engagements , loss of control over a system , loss of human control , lack of human judgment , difficulty in assigning responsibility and these kind of issues could be grouped under an operational risk . Unpredictable system behavior , unpredictability , unintended inappropriate behavior of a system , reliability , algorithmic biases , AI biases , limited data selection , et cetera could be grouped under a technological risk . Deliberate manipulation by malicious actors , development , deployment and use by non-state actors , proliferation and acquisition of technology by terrorist groups , acquisition by unauthorized users could be grouped under proliferation risks . Other risks are protected by the provisions of IHL which requires for the operators to be trained extensively through capacity building and awareness programs in the manner which these weapons systems are utilized . This would ensure that the provisions of distinction , proportionality and precautionary attack are adhered to and targeting is affected only against specific military targets . Associated with these are confidence building measures and sharing of best practices that can be effectively worked out through international cooperation and diplomacy . We believe that in this area , civil societies and governmental organizations , non-governmental organizations could play an active role to work closely with the states' parties to evolve risk mitigation measures that would ensure that only legitimate targeting within the confines of IHL is undertaken through use of laws . Our Delegation underscores that risk is inherent to any environment , especially so when we talk about weapons and targeting and hence the importance of implementing robust risk mitigation measures to address the challenges posed by laws . We believe that these risks could be mitigated through already established practices which have been brought out by several Delegations , which could be realigned to suit the development and use of laws . In conclusion , we believe that by implementing the concrete risk mitigation strategies , laws can be developed and used in a manner consistent with international law . Thank you , Mr. President . I would like to thank you for your views and also , again , views on how to structure the risks we have highlighted .",Asia-Pacific States,Yes
AUSTRALIA,10:35:53,2024-03-07,0:07:13,"I would now like to pass the floor to the Distinguished Representative of Australia . You have the floor . Chair , we would now like to offer some comments on each of the sub - questions under topic 3 . Turning to the first , being concrete risks with regard to the development and use of laws , we note that the GGE has been discussing risks of laws for some time now . As Delegations observed yesterday , there is a substantial amount of existing consensus language on risk in previous GGE reports that should be the starting point for our discussions on this topic . Several of these paragraphs from past consensus reports were drawn to our attention by Delegations yesterday . Over the course of past GGE sessions , different risks have been emphasized by different Delegations . My Delegation has largely been approaching risk through the lens of IHL compliance by focusing on mitigating the risk of unintended engagements and civilian harm . We think this is an appropriate we think this is appropriate in an IHL forum such as the CCW . As a general point , it is helpful to be clear on what risks relate to autonomous functions in weapons generally and which relate to specific AI technologies . Some risks listed here are uniquely related to the incorporation of artificial intelligence in weapons systems and we support the suggestion made yesterday by one Delegation to use more precise language where risk does relate to AI . For example , stating algorithmic bias in AI . We echo the observation yesterday that some of the points outlined are not risks of themselves . Rather , they are causes , consequences , or effects of risks . For example , the lack of human judgment in the design or use of a system may lead to risks of noncompliance with IHL and we think it is important to bear in mind this distinction when classifying the different risks . With respect to the first bullet point , we note that the risk of unintended engagements and loss of control of a system is a specific risk that is already been identified in previous GGE reports . Turning now to the second sub question regarding concrete risk mitigation measures with regard to the development and use of laws , we think this is an area where there is substantial common ground between GGE Delegations . If you look at the various proposals on the table , they all contain very similar risk mitigation measures . We heard yesterday suggestions on how to classify and categorize these risks and we think it would also be helpful to organize the risk mitigation measures into categories . We suggest one way of doing this could be to group them by the various measures taken at the various stages of a weapon's life cycle or the various stages of the life cycle of a weapon system . For example , risk mitigation measures to implement at the design , development and use stages . This would build on guiding principle G which notes that risk assessments and mitigation measures should be part of the design , development , testing and deployment cycle of emerging technologies in any weapon system . We also note that the GGE reports of 2018 and 2019 contain useful consensus language on risk mitigation measures . My Delegation endorses the views expressed by the ICRC yesterday on the need to distinguish legal obligations and measures to comply with legal obligations . We think this is a very important point . Several of the measures listed here are what we would categorize as IHL obligations and others are measures to ensure respect for IHL by a state's armed forces . So , for example , assessing expected collateral damage in relation to concrete military advantage would be a part of a proportionality assessment as required by IHL . We note that some of the risk mitigation measures outlined are quite vague . For example , the point on safety mechanisms , technical and organizational safeguards , et cetera , it is not clear to us what kind of safeguards or mechanisms are being referred to here . We also note that the term potential precaution could benefit from rephrasing or further elaboration as it may create confusion with the IHL obligation to take feasible precautions in attack . On the point about ensuring predictability , accountability , et cetera , we echo the point expressed by some Delegations yesterday that these are not risk mitigation measures but rather are goals or effects of other measures . We suggest risk mitigation measures should focus on the practical measures that can be implemented in order to reduce risk . Finally , we turn to the third prompt regarding concrete confidence building measures with regard to the development and use of laws . We understand confidence building measures as referring to measures that build mutual trust between states . CBMs are usually underpinned by the exchange of relevant information among states so as to clarify others' intentions , avoid suspicion and reduce misperceptions . As you , Chair , have set out in your prompt , we would like to see risk mitigation measures and CBMs as conceptually distinct . Given how we understand CBMs , we would like to see some of the actions listed sorry , we would see some of the actions listed as somewhat misplaced under this particular heading . For example , ensuring military documents and training for military personnel are updated and measures enabling after action review of a weapon system , those measures are in our view good practices for ensuring compliance with IHL by states armed forces rather than what we would typically categorize as a confidence building measure . We are of the view that the ICRC's point about the need to be clear about what measures are legal obligations and which go beyond this is equally relevant to the points listed under this prompt . We are pleased to see included in this list the voluntary exchange of relevant best practices on legal reviews and we note that this was also referenced in paragraph 23 of the 2023 laws GGE report . Thank you , Chair .",Western European and other States,Yes
SWITZERLAND,10:43:19,2024-03-07,0:03:06,"Thank you , Mr. Chair . We spoke on the potential risks already yesterday but I would like to add two reflections regarding reliability and accountability . First , and this relates to the bullet points 1 to 3 regarding reliability and unintended harm , these are aspects that deserve more in - depth considerations . They are very important as harmful consequences of the autonomous weapon systems reliability and / or the way how they fail may not only raise operational issues or risks but also fundamental questions regarding compliance with IHL . For instance , what happens if the system fails ? Would it self - destruct or would it attack unintended targets that are protected under IHL ? Second point regarding responsibility and accountability , these are crucial aspects , notably also for ensuring respect of IHL . As we advocated in the past , measures , for instance , for a second tier and regulations of an instrument should be defined to mitigate that risk and facilitate accountability . In order to ensure human responsibility for decisions on the use of weapon systems , a certain degree of human control must be exerted or embedded at the appropriate stages of the life cycle of a weapon . Human control and we have heard and said that many times can be exercised in various ways throughout the life cycle , the different phases of the life cycle of a weapon and notably in the targeting cycle . Those who design and procure a system must ensure that the system can be used in accordance with IHL while those who deploy and employ an autonomous weapon system must ensure an IHL compliant use . Those actors must evaluate with particular scrutiny under what circumstances and with which parameters and safeguards a system can be employed in compliance with IHL . As a general assumption , the more significant human involvement in a specific use of an autonomous weapon system is , the easier it will be to assign individual responsibility . Those were the two points that we had on concrete risks and we will come back on mitigation measures at the later stage if that is in accordance with your plans . Thank you very much .",Western European and other States,Yes
UNITED STATES,10:47:04,2024-03-07,0:08:43,"Thank you , Chair and good morning , colleagues . Chair , I think in our interventions yesterday we addressed earlier sections of topic 3 and this morning that we wanted to focus on the questions related to confidence building measures . One initial comment is that we may want to refer to this section as transparency and confidence building measures rather than just confidence building measures . Transparency is an important dimension of what we are seeking to promote here and we would encourage using that word in the way we frame this particular set of issues . We can be flexible on this point , of course , but think it would be more in line with the way we have been addressing these issues . With respect to transparency and confidence building measures , we see this as a topic that relates to both parts of our mandate , that is a set of elements of an instrument could include elements on transparency and confidence building measures such as provisions on voluntary national reporting and information exchanges , but TCBMs could also be considered as in the other possible measures part of our mandate to address emerging technologies in the area of laws . As recognized in the final bullet of this section , the GGE itself is an important transparency and confidence building measure . I think you have heard our Delegation speak often about the inherent value in this body , the GGE and in the CCW more broadly . We view the GGE as a uniquely valuable forum to promote transparency and the international discussions on emerging technologies in the area of laws . Every state that has an interest in this topic is welcome to join the GGE's work . We also have the participation of civil society organizations and these meetings are being broadcast on UN Web TV so that people anywhere in the world can see them . There is simply no other forum like this where we have the ability to engage on these issues . Many states have used the GGE as a forum for describing their own national policies and practices , both orally during GGE sessions and in the form of written submissions . For example , the United States Delegation presented on specific weapon systems in 2018 and in 2019 . We have discussed and provided US Department of Defense directive 3000.09 on autonomy and weapon systems , included a detailed presentation last year of recent updates to this particular directive . We have provided our policies on the responsible use of artificial intelligence , namely the US Department of Defense AI ethical principles as well as US Department of Defense responsible AI strategy and implementation pathway . We also very much welcome the contributions of other states that have shared their national policy and practice . In our view , any future instrument should ensure that this forum is able to continue to engage on these issues . We are now seeing similar efforts outside of the GGE . For example , last year's UNGA resolution called on states to provide submissions to the UN Secretary General for a report that he will prepare this year that will reflect the full range of views of states and will include state submissions in the annex . We welcome this effort as something that can be very useful and very useful in supporting our work in the GGE by helping to identify areas of convergence among Delegations . The United States will be submitting a detailed report to the Secretary General highlighting relevant US practice as well as the good work being done in this GGE and we encourage all other GGE Delegations to do the same . Now , Chair , just to offer a few more specific reactions to some of the individual bullets that you have included in your paper . With regard to the second bullet , ensuring military documents and training for military personnel are updated , it would be useful to be a little clearer we think in identifying the types of documentation and training we are talking about . We assume this is a reference to ensuring that military operators are effectively trained and have the relevant documentation on the weapons they are using , but this could be made clear . That said , as noted just a few minutes ago by the Australian Delegation , it is also not clear that this is a confidence building measure and maybe not something that should be placed elsewhere . With regard to the third bullet , measures enabling an after action review of the system to assess compliance with IHL of the system , this may just be a wording issue , but we note that as the GGE is concluded in 2019 , IHL imposes obligations on states , parties to armed conflict and individuals , not on machines . Human beings who use the system rather than the systems itself are the ones who must comply with IHL . This may be a wording issue , but we want to make sure that we are not , that we are a little bit more precise . We support the fifth and the seventh bullets , establishing a nonlegally binding code of conduct to promote responsible behavior and strengthen compliance with international law and the reaffirmation of the 11 guiding principles , although I will say , Chair , the 11 guiding principles have been reaffirmed already by the high contracting parties and in our view should already be shaping the behavior of states in relation to this set of issues , but obviously would not object to a continued reaffirmation of those principles . With regard to the sixth bullet , commitment to retaining human responsibility and meaningful human control over the use of laws , we would like to explain why we do not think these are useful transparency and confidence building measures . So first , with regard to states expressing a commitment to retaining human responsibility , I think we would see this to be counterproductive . We view states and individuals as responsible for the use of autonomous weapon systems and we are concerned with this language because it suggests that responsibility is only a commitment and that , in fact , machines could be responsible . We do not think that states or individuals can use laws and thereby evade their responsibilities in this regard and so we want to be careful not to use language that would implicitly endorse this argument and undermine what we view to be existing legal principles related to responsibility . Second , with respect to a commitment to meaningful human control , my Delegation would like to note that this term has been discussed for many years in the past in the GGE . It is subject to divergent understandings . It is clearly not found consensus and my Delegation provided a working paper in 2018 that explains our perspective and discusses in detail why we do not find this to be a particularly helpful term . And because there is not consensus on this term and because it is so amorphous , we do not see a commitment to this term as promoting transparency or building confidence . So Mr. Chair , those are just some more specific reactions as well to some of these points and , again , we just want to thank you and the team very much for including this . We think this is an important part of our discussion . Thank you .",Western European and other States,Yes
GERMANY,10:56:37,2024-03-07,0:01:06,"Before Germany is also of the view that the risks related to the development and use of laws may be seen to fall under certain categories . We are in favor of that concept . We see risks related to unpredictable system behavior , algorithmic biases , reliability which may inter alia lead to unintended biases such as on gender aspects . Adequate testing , legal reviews and adequate training for human decision makers and operators to understand the system's effect and its likely interaction with its environment are in our view key to countering these risks . Other risks may be related to a possible loss of human control , the lack of human judgment or lack of accountability . We also see the risk of development , deployment and use of laws by non-state actors . In our view , the second tier focused on regulations could address the aforementioned issues and the concept of their categorization . Thank you .",Western European and other States,Yes
COSTA RICA,10:58:07,2024-03-07,0:02:55,"Thank you very much , Chairman . After listening closely to what has been said yesterday and also looking at what has been presented on the slide No. 3 , the developments on the development of autonomous weapon systems , my Delegation would like to state the following . Costa Rica , like other Delegations including Mexico and Switzerland , considers that the exercise of identifying the risks of the use of autonomous weapon systems and looking at ways to mitigate the effects of these is extremely relevant in order to complement the central objective of this group which is to ensure progress within international law in order to properly prohibit and regulate autonomous weapon systems . In this context , the Delegations of Switzerland and Pakistan yesterday very eloquently detailed how other instruments , for example , Protocol 5 , include measures as an annex or complementary information to the prohibitions under that instrument . My Delegation supports the consideration of this model or a similar model for the topic that we are looking at now . Another element that we think is important is the call that we have heard on other occasions and yesterday to categorize the risks inherent in the development and use of weapon systems into subgroups . Costa Rica would like to thank Austria , Pakistan and Mexico for their contributions and should like to support that proposal because this raises awareness with regard to the multidimensional aspect of the risks involved in the development and use of the systems and would allow us to look into greater depth into the specific needs to address these various categories . A year ago , my country hosted the Berlin Conference which looked at the objective of discussing how the multidimensional nature of the risks of development and the use of autonomous weapon systems is obliging us to implement a holistic approach against the challenges thrown out by the development and use of autonomous weapons . A year out from those discussions , it is very encouraging to hear that there is growing consensus around the recognition of the fact that containing the risks does not depend simply on the proper compliance with international humanitarian laws obligations nor on simply voluntary actions but rather in a legally binding instrument that contains provisions in order to contain the proliferation and use of these systems . Finally , my Delegation should like to suggest that the risk mitigation aspects also include the need to look at measures undertaken by states in the private sector with regard to the trading and transfer of these systems and look at other measures in order to prevent the deviation of these . Thank you .",Latin American and Caribbean States,Yes
BELGIUM,11:01:15,2024-03-07,0:03:42,"Thank you very much , Chair . Chair , the issue of the autonomous nature of weapons systems requires specific questions to be defined , especially looking at how this relates to IHL in terms of the use of these kinds of weapons . My Delegation should like to thank you for your questions and for having brought together the responses of the Delegations and should also like to thank the Delegations who have provided responses . Belgium should like to more specifically provide support at the following points with regard to the first question . On the first point , loss of human control , Belgium prefers the terminology loss of human control to the previous terminology given that the unintentional actions and the loss of control in the systems are included in the notion of loss of human control in general terms . As far as the second point is concerned , my Delegation supports the idea of unpredictable system behavior or unpredictability . We support that notion of unpredictability , whilst bearing in mind the discussions that we have had this week and whilst understanding that this terminology may be considered as lacking precision , I am talking about unpredictability here , we nevertheless support the first which we think covers the same concept whilst being a little bit more specific . We prefer the use of unpredictability rather than behavior to avoid the impression that a machine or system can have behavior attributed to it and , therefore , we should be avoiding anthropomorphizing weapon systems . In terms of biases , which was extensively discussed already , the use of autonomous weapon systems by the very nature of those systems involves the risks of bias and these are various types and not only attributable to artificial intelligence but especially to the developers themselves . My Delegation , therefore , prefers data biases in general given that they may be biases even when using a large amount of data so my Delegation supports the intervention made by the Delegation of Austria yesterday with regard to biases . For us , by definition , a bias is unintentional and includes , therefore , the mention of unintended bias rather than that terminological specificity . My Delegation supports the notion of deployment and use and acquisition by unauthorized users including terrorist groups . My Delegation welcomes the inclusion of a point relating to a danger to non-state actors . In particular , we would be sensitive to the last suggestion which we think integrates larger spectrum of users without going into discussions into what is and what is not a non-state actor . But it is not simply acquisition but also deployment and use of the systems by nonauthorized users which represents a risk . So deployment and use and acquisition by unauthorized users including terrorist groups is what we would support . Thank you very much , Chair .",Western European and other States,Yes
IRELAND,11:05:10,2024-03-07,0:03:16,"Thank you , Chair . Throughout the process of the GGE on laws , a range of states , international organizations , civil society , academia and industry have consistently acknowledged the risks related to artificial intelligence and bias , in particular with regard to gender and racial bias . This is something which was also raised by several Delegations during our session yesterday afternoon and was likewise the subject of a side event hosted yesterday by UNIDIR , together with the permanent missions of Canada , Costa Rica , Germany , Ireland , Mexico and Panama . At yesterday's event , it was stressed that gender and other forms of biases in AI technologies go beyond technical solutions and there is a need for collective action and cooperation in this regard . As you will be aware , Chair , bias on autonomous weapons is also something that has been discussed in a range of working papers submitted to the GGE over the year . In this vein , Canada , Costa Rica , Germany , Ireland , Panama and Mexico have submitted a new working paper on the issue of autonomous weapons and bias . As our working paper notes , algorithms and related machine learning risk repeating , amplifying or contributing to unjust biases that programmers may not be aware of or that are the result of narrow data selection . Indeed , it is already acknowledged by industry and practitioners as an uncontroversial fact that human beings consciously or unconsciously encode their own biases into the programmes they write . As some experts have noted , bias is inherent in society and thus inherent in AI as well . This represents a major challenge in how we think and approach these issues both at the GGE and elsewhere and it demands substantive collective action on our part . In our working paper , we present a range of recommendations for the GGE to address some of these issues including that the GGE clearly identifies and recognizes the risk that the integration algorithmic biases into autonomous weapon poses to fundamental rights and safety . This should be done in a factual manner and the GGE should develop appropriate measures to tackle the issue . Furthermore , we recommend that the future normative framework on autonomous weapons should include a number of positive obligations and commitments with regard to bias in the algorithms used in autonomous weapons . In order to mitigate the significant risk , they pose the fundamental rights and compliance with international law . This would include comprehensive testing and reviews in order to identify and correct potential biases and rigorous documentation of the datasets used in autonomous weapons in order to enhance traceability and transparency and provide information regarding motivation , the collection process and recommended use . In conclusion , Chair , it is clear that AI technologies mirror our societies but often in problematic ways that pose notable risks if they go unchecked . We must be proactive in engaging and addressing these . We look forward to further engagement in this area during the GGE and throughout the intercessional process . The working paper has now been officially submitted and will be circulated shortly . Thank you , Chair .",Western European and other States,Yes
AUSTRIA,11:09:09,2024-03-07,0:03:29,"Thank you very much . We just in a very short intervention also wanted to share some more remarks on the concrete confidence building measures that you had on the screen . If you could go back to them , that would be useful . So on this kind of list which concludes , includes quite a range of very useful parts that could be part of confidence building measures and that are definitely things that states should consult with each other , where they should exchange and where best practices , especially by those states who are advanced in technology with others who in the end will then develop weapons like this as well or might use the weapons of other states would be extremely useful . The big question in this regard or first I go into the list , I mean , we have if you look at the list , we again have let's say a different typology when we go into the different measures that have been suggested here . Some of there are classic confidence building measures and we appreciate that many Delegations have taken an effort to look into confidence building measures that relate to new technology and to AI in general . There's definitely something to be done there . But there are other measures that are again more or less measures to address risks and not necessarily confidence building measures such as the second one or the third one . This is a problem that we had the whole week but just to point it out and it is not necessarily bad . Those are definitely all the measures that are necessary but rather than general recommendations . The bigger questions that when we are looking at this list and confidence building measures is what to do with them . There are different possibilities and at some point we might also have to discuss them . Once again , a disclaimer maybe that we think that the elements of an instrument are more important than this part but then again there is also the option and I have hinted at yesterday if we adopt the protocol that we follow the example of existing protocols such as protocol 5 and that we include a technical annex that has recommendations , useful recommendations to states that are more of a general nature or here go into maybe a confidence building area . Of course , there are also other possibilities and we note that some of these recommendations when it comes to confidence building are rather broad and they might also have their place in other contexts such as the Re- AIM process or the political declaration which are both looking quite heavily in these parts . It might also happen that this not necessarily ends up in the TGE laws but in another process . It could also be part of a report by the TGE and then be used somewhere else but as I have indicated at the beginning , this is a question . It is an interesting and definitely necessary part if you could look at the broader regulation or broader way of addressing the risks and share confidence building measures but the question is where will it end up in the end ? We have no preference at this point but it is something to keep in mind . Thank you .",Western European and other States,Yes
