Speaker,Time,Date,Duration,Statement,Region,High Contracting Party
UNITED STATES,15:21:08,2024-03-06,0:00:20,"Thank you for breaking the ice . With apologies , if it is okay , we would return to topic 2 and do an intervention on that . So apologies for not breaking the ice on chapter 3 . But with your indulgence , before that conversation started , we were hoping just to come back on question 2 , topic 2 , if we may .",Western European and other States,Yes
UNITED STATES,15:21:52,2024-03-06,0:12:25,"So this is still for the list on topic 2 . You have the floor . Thank you . Thank you much , Mr. Chair . So just some reactions just with regard to the specific text and bullets and really appreciating the very good discussion we have had so far on it . So just with regard to the chapeau language about the legality of laws depends on , I think our suggestion would be to really flesh this out a little bit and instead refer to the legality of the use of laws to conduct a tax . And we see this as consistent with our general remarks that what we are doing in this question is addressing the use and the legality of the use of laws . And then we think it would be useful to refer to a tax in line with the specific IHL rules that are applicable to a tax that the group has found consensus on , distinction , proportionality , precautions in a tax . So wanted to provide a few concrete text ideas about how we can focus and take our discussion forward . Just with regard to the the first bullet , use and or functioning operational environment and nature of targets , I think as other Delegations have noted , these are factors that may be relevant and under legal requirements , they are practical and important considerations , but we do not see these as independent legal criteria or legal rules . A very similar comment with regard to the next bullet in a specific context , of course , we very much agree with the good discussion and many other Delegations that have raised the point that specific context is relevant to the application of IHL rules . However , I think we would note that we do not think it would be fruitful to try to elaborate different categories of context in which laws may be used or not used . With regard to the next bullet , human control involvement supervision , I think here we would note that we have already negotiated language on human machine interaction and a great deal of good consensus work has been done on that . As we stated before , the US Delegation does not support characterizing human control as a requirement of IHL . It is a means , it is one means , an important means , but not the only means that can enable compliance with IHL . Also see as a way out of some of this language , I wanted to appreciate the suggestion from Australian colleagues about the GGE already having reached consensus on the concept of operating systems within a responsible chain of human command and control . Of course , there is the language on control that I think you noted with regard to the 2023 GGE report . With regard to the next bullet , throughout the life cycle of laws , et cetera , I think the general comment we wanted to make here was a desire to move our conversation towards greater specificity and enabling more effective implementation of the various measures that will be a part of our instrument . We already have broad language about the importance of human machine interaction throughout the life cycle . Rather than renegotiating that guiding principle , we think we should be focusing on what requirements at particular stages of the life cycle can be taken or what practices can be taken at the various stages in support of the effective implementation of the legal requirements during use . Of course , use is where IHL applies to the conduct of hostilities , to the use of the weapons , but it is an important insight that the GGE has already reached that measures at various stages contribute to effective implementation and compliance with IHL during the use stage . In our draft articles proposal that we have put forward and other Delegations have supported , we articulate measures during development that can contribute to , for example , reducing the risk to civilians . With regard to the next bullet about the human operator beginning to articulate a number of subpoints about imposing limits , of course , as a general point , we want to recall that we do not see this bullet as a requirement of IHL specifically . This is not an IHL rule , but more practical consideration that helps implement IHL rules . We also wanted to make a factual point here that when we are talking about limitations regarding space and time or the types of targets and the duration of operation , geographic scope and scale of use , these will not necessarily be things that the operator does . How long the system operates or what types of targets it can engage , these are factors that will be potentially set during the development of the weapons system rather than things that the operator of the weapons system will be able to manipulate . So we did want to also bring that practical consideration into the conversation here . With regard to the next bullet , too , predict , trace and explain the behavior of laws , again , it does not reflect existing IHL and we support further work to try and explain how these concepts relate to specific IHL rules . For example , the principle of proportionality requires an expectation of the risks of civilian harm . That is that risk of civilian harm is what we are trying to predict , not abstractly the behavior of the weapons system . So wanting to evolve and focus our work on this particular bullet , the same comment , I think , with regard to the next bullet , we are talking generally about information . We want to progress our understanding and our measures and talk specifically about what kind of information is useful to conduct proportionality assessments to fulfill those IHL requirements , for example . And then lastly , with regard to changing the mode of the operation including deactivation , I just would recall the general point in our intervention that this could be usefully under the rubric of feasible precautions and that might be a way to conceptualize this particular practice and then also build out other important practices that could be part of our instrument . Lastly , we wanted to comment on this last bullet about reliance on transfunctions must be in good faith and consistent with due diligence . In particular , we wanted to appreciate the question from our ICRAC colleagues about this language about good faith and where it comes from . So really wanted to respond to that question . You know , for us , for the US , we believe that the law of war requires that all decision making in armed conflict in the implementation of IHL rules must be undertaken in good faith on the basis of the available information . And we see this as reflection of broader principle in customary international law that good faith performance of legal obligations is sort of foundational to the implementation of legal obligations . The principle of good faith is recognized in the Vienna Convention on the law of treaties . We believe that it also applies to the implementation of IHL and every member of the armed forces , you know , for example , in our view has a duty to comply with IHL in good faith . We would also recall that the GGE found consensus on this concept of good faith in 2019 . In the 2019 report , paragraph 17H , talking about how IHL compliance requires that human beings make certain judgments in good faith based on their assessment of the information available to them at the time . So we hope that is a useful explanation of where we see good faith and why we think it to be particularly relevant . And the other comment we would like to make with regard to this bullet is really just to connect it again to other IHL rules . And this is I think what we emphasized in our response to you , Mr. Chair , to this guiding question that the combatants' reliance on autonomous functions to identify , select or engage targets must be in good faith and in light of the information available at the time and must be consistent with due diligence in the implementation of the requirements and principles of distinction , proportionality and precautions in attack . And so we do want to connect the concept of good faith and due diligence to those specific IHL rules . And we think that is an important part of what we are trying to do here and this broader exercise of understanding how IHL applies to the use of autonomous weapon systems . And if you will bear with me , I will just try and explain it a little further . So from our perspective , IHL rules on the conduct of attacks like distinction apply to the commanders and operators , not the weapons . And that was a point we made earlier . It is not the weapon that was distinguished but the commander or the operator . With an autonomous weapon system , however , the commander and operator is relying on the weapon system to perform functions like selecting and engaging targets . And that reliance is I think what we are trying to highlight . IHL , of course , does not prohibit commanders and operators from using tools to assist them in combat . And so for us , an important legal question here is does the operator or commander's reliance on this tool , on the autonomous weapon system automating the target selection and engagement function , is that consistent with due diligence in the implementation of distinction ? Are they satisfying due diligence when relying on the weapon system to identify , select and engage the target ? And our draft article's proposal tries to specify some of the factors that are relevant to this analysis and we think this is an important area in which the GGE should do more work and could usefully do more work to strengthen the implementation of IHL . I thank you , Mr. Chair .",Western European and other States,Yes
AUSTRIA,15:34:45,2024-03-06,0:01:49,"We will give them the floor . Sir , you have the floor . On this topic again , we just wanted to react in the spirit of an interactive debate . It is mostly about the last point that was brought up about the good faith and due diligence . We believe it is an interesting topic and it is something that we could discuss , but in our understanding and this is maybe some of the questions that this raises , the implementation in good faith and due diligence is normally something that applies to states . We know it from outer space treaty , from experience I also know it from other ways how obligations of states could be implemented . If we push this and here again , I mean , in the shorter version it is not clear who should rely on this autonomous functions in good faith and consistent with due diligence . From how it is on the screen , it is not really clear who is the subject in this formulation . We would be hesitant to push these kind of obligations to commanders and soldiers in the field . We see this rather as a state obligation and it seems to be a general tendency in this topic to push we are doing it as well in our working paper . I am clearly aware of that . But we should not go beyond in pushing too much of these state obligations or responsibilities on the persons who actually have to handle these weapon systems . This could have a number of negative effects . It also could lead to military lack of effectiveness if the commanders or the operators will not use weapon systems because they are not clear how it works and how severe the obligations and consequences for them would be . But this is just a side note . Thank you . I would like to thank you for your reaction .",Western European and other States,Yes
AUSTRALIA,15:36:42,2024-03-06,0:06:33,"With your indulgence , Chair , we would also like to return to the second part of topic 2 . We would as a preliminary comment echo the point made by several other Delegations that is helpful to be clear about the task we are engaging in under topic 2 . We see this as an exercise in clarifying how existing prohibitions and limitations under IHL apply to laws . We see this as critical work that needs to be done before any new additional measures might be considered . Chair , in part 1 of topic 2 we spoke about laws that are inherently incapable of being used in compliance with IHL . We understand that here in part 2 of topic 2 we are focused on weapon systems that do not fall into this category . That is we are talking about weapon systems that are capable of being used in compliance with IHL . As has been noted , IHL imposes restrictions on the manner in which weapon systems are used . The cardinal principles of IHL are the principles of distinction , proportionality and precautions in attack . It is helpful to recall that the 2023 laws GGE report recognized that control with regard to laws is needed to uphold compliance with international law including IHL . In Australia's view , the types of control measures needed to ensure compliance with IHL in the use of laws will be context specific . The controls needed will depend on the capabilities and limitations of the weapon system , the nature of the targets and the operational environment . We also consider that an appropriate level of human involvement across the life cycle of a weapon system will be required to ensure compliance with IHL . The specific type of human machine interaction that might be required will be highly context specific . Responding now to a few specific elements in the text , as a general observation on the chapeau language , we do not believe the legality of the use of laws depends on all the factors listed here . We think it is important to differentiate requirements under IHL from additional practical measures that help implement IHL . We have a comment to make on bullet point 3 which refers to human control involvement and supervision . Here we would reiterate our position that the appropriate degree of human involvement is context dependent . Very different controls and levels of human involvement would be required in a static environment with no civilians or civilian objects present as opposed to a cluttered dynamic environment where there is a risk of civilian harm . Regarding bullet point 4 which refers to at various stages of the life cycle and throughout the life cycle , Australia favors a formulation of this bullet point that refers to relevant stages or various stages of the life cycle of the laws as is necessary to ensure that the use of laws is in compliance with IHL . Regarding the language further down which refers to predict , trace and explain the behavior of laws , we have a comment to make on the word predict . There are certainly questions regarding the level of predictability or reliability of a weapon system's effects that are required to ensure that a weapon system is capable of complying with IHL . While we recognize that IHL requires those who plan or decide upon an attack to anticipate certain effects , this may not necessarily require the operator being able to predict the behavior of laws in causing the anticipated effect . So we think this is an idea that needs some further consideration . Moving on to the notion that it is necessary to trace the behavior of laws , in our view this concept may be best addressed by only deploying and operating laws within a responsible chain of human command and control . We also think ideas about traceability that have been put forward by some Delegations could be helpfully addressed during our discussion on accountability . Turning now to the next bullet point which refers to informed decisions about the deployment and use of weapons , IHL clearly requires that those responsible for planning , deciding upon or executing attacks reach their decisions about deployment and use of weapon systems based on an assessment of all information available to them at the relevant time . We agree with the position put forward by ICRC that the commanders and planners will need to anticipate and assess in advance the lawfulness of all possible strikes by the laws and that this must include all reasonably foreseeable changes in circumstances . We consider this a normal part of military planning which requires anticipating possible changes to circumstances based on enemy actions or responses . Turning now to the bullet point which refers to the human operator being able to change the mode of operation including deactivation . Several Delegations in this GGE have put forward the idea that laws must be equipped with certain technical features for them to be compliant with IHL . We consider that certain features such as self - neutralization and self - deactivation may be necessary in some circumstances depending on the operational context and other control measures available such as the ability of a human operator to intervene , suspend or cancel an attack . We do not regard these features as being required by IHL in all circumstances . Thank you , Chair .",Western European and other States,Yes
MEXICO,15:44:40,2024-03-06,0:08:46,"Thank you very much , Chair . I am daring to speak first taking into account that I actually have to leave the room for a few moments later . So I would like to share with you my views on this particular issue . Now , this is an issue that the Mexican Delegation believes is very important because in order to effectively have effective regulations we have to really know what the risks are related incorporating autonomy into weapon systems . Now , Mexico looks at the issue of risks in a somewhat broader way than how you , Chair , reflected that in the list and I will try to move from a more general assessment to more specific comments . The first thing , of course , we would like to say once again that we have to look at the question of risks from a perspective of ethics . These are indeed machines that are taking decision on life and death . Autonomous weapon systems present serious ethical issues where there is a cognitive distance in space , time and understanding between the human decision of human beings and the use of arms and there is no moral barrier where there is a transfer from responsibility in decisions to machines . Second , and we are repeating something that we already said in our general comments , the risks have to be also looked at from a security point of view . Lethal autonomous weapon systems present the risks of asymmetric wars , disproportionate use of force , unintentional conflicts , escalation of conflicts , generates an arms race and also they can start interacting with other weapon systems including WMD , third point or third category of risks . These are related to the situation when laws are being developed , when they are not placed under meaningful human control so they are not in a position to comply with IHL or other existing legal standards due to their nature or the way they operate . In this aspect we believe that the following risks arise . The first , the risks of excluding human control , especially when it relates to technical requirements for the operation of lethal weapons systems through preprogrammed profiles , information on the environment through sensors analysis of the information being collected by sensors and applied through the existing or preexisting profiles . Mexico believes that such processes cannot replace human judgment required to implement the fundamental principles of IHL in specific contexts . Also , there are risks related to such contexts . IHL and their legal obligations under international law depend on decisions that are aware of the context and can adapt to changing circumstances . Autonomy represents risks where the specific context is not really known . Space and time are also not processed correctly when these weapons are used . Then also there are risks related to the predictability of the effects of laws related to the attempts of users to limit the way these machines are used in line with IHL for risks of intentionality . Laws can simply go beyond what humans are capable to process . There is a risk to presume their capacity to recognize the context and also to adapt in a predictable manner to new situations that were not planned during the design phase or during the evaluation phase . Number 5 , risks relate to the human machine team . When we appreciate the need for human participation in the critical functions of machines , algorithms are extremely powerful to process extremely high levels of information , but this does not mean that they will carry out the correct causal analysis . Now , it is always necessary for humans to carry out necessary qualitative assessments and to determine legality or lawfulness . It has to be all adapted to changing circumstances and ensure control over the parameters , environment , and supervision during the use of such weapons . Now , where we have this link between humans and machines , still risks exist . For example , the situations where information presented is too complex to be analyzed by human beings before taking a decision , for example , identifying the deployment and use of models generated by artificial intelligence and it is also important to carry out that these limitations are even exacerbated when we are not just talking about one weapon system but when we have a network of such systems that operate in real time . So we are talking about a whole network of machines operating and this creates even more complicated situations . So this link implies that the participation of human beings will end up being simply nominal . Another challenge here is the situation related to operations where we see critical or unpredictable situations related to the application of force where humans are not in a position to have enough situational information to react in an adequate manner and to react promptly and maybe it will be even impossible for them to do anything . Then finally , the challenge of discrimination related to gender , race or other considerations and this can be related to the source of data in the system but also through the operation of processes related to algorithms . And very briefly on required measures , Mexico believes that we must distinguish between risks that require measures to simply avoid risks , risk avoidance measures which we believe are prohibitions and regulations or it is related to the discussions that we were having yesterday afternoon and this morning and also mitigation measures that may apply in a practical manner to analyze how this links up to norms of IHL and also how this will be linked to any norms that will be developed by this GG . Thank you .",Latin American and Caribbean States,Yes
ISRAEL,15:53:43,2024-03-06,0:02:11,"Thank you , Chair . We would like to make a few quick remarks on the subject of risk mitigation with regard to the development and use of laws . Approaching this topic , our Delegation understands that the concerns and measures discussed in the context in this context were intended to go beyond legal obligations encompassing good practices and policy measures , technical standards and other suggestions deliberated within this forum . While some of the concerns and measures discussed here are certainly relevant to compliance with IHL rules , even if only as practical or secondary aspects rather than primary rules , the variety of measures and their wide spectrum of implementation may often extend beyond what is required to comply with legal obligations . We suggest taking this in mind when addressing the topic . Generally in Israel's view , risk assessments and mitigation measures in their most basic sense constitute relevant tools for addressing uncertainty associated with emerging technologies , particularly improving reliability and predictability . Therefore , measures to address these concerns should be integrated at various stages of the weapons system life cycle . These measures may include but are not limited to adequate testing , evaluation and training , safety mechanisms and comprehensive assessments including legal reviews in this context . We would also like to note the distinction between foreseeability by design and technical malfunctions as these are two separate issues . A system with a very high degree of foreseeability in its functioning may still be subject to technical malfunctions as is the case with every weapons system . Finally , we welcome a fact - based informed discussion to identify and address realistic risks that are associated with laws and the appropriate mitigation measures to address those risks . Thank you , Chair .",Western European and other States,Yes
FRANCE,15:56:32,2024-03-06,0:02:38,"Thank you , Chair . Chair , I would like to make a few comments of a general nature on risk mitigation and confidence building measures . Our discussions in this body focus more on the challenges posed by emerging technologies in lethal autonomous weapons systems . Of course , it is vital that we find a collective response to these challenges . However , we should not lose sight of the potential benefits of lethal systems which have some part of autonomy . There are many such benefits including to implement and respect the principles of IHL . This is a very important aspect as well as our work should not lead to stigmatization of technology unduly , technology which might offer many advantages to support decision making , for example , to protect from dangerous tasks and also to improve targeting precision . And benefits can be brought in to operations substantively so long as there are risk mitigation measures which are provided for from design to the use of such weapons systems . France calls upon high contracting parties to establish adapted risk mitigation measures including technical guarantees . States should thus commit themselves to implementing strict procedures for qualification , for verification , for evaluation and for validation throughout the whole life cycle of the system to ensure reliability . Also , technical guarantees and organizational guarantees should be established to prevent abusive use , malfunctioning , diversion and abandoning the human prerogative . To identify respective responsibilities clearly of all persons involved , states should clearly identify the responsibility chain of all those involved in decision making from design , development , qualification and use of a lethal autonomous or partial autonomous weapon system . Thank you .",Western European and other States,Yes
AUSTRIA,15:59:29,2024-03-06,0:04:12,"We would just have a short remark on the overall risk . I think it is a very good question to pose to identify the risks that are there because in the past we have talked a lot about risk mitigation measures without clearly identifying the risks . We very much welcome also a debate about this topic . At the same time when we look at the list , we see that some of them are classic risks but some of them as they are listed here also are more something that comes from the lack or not implementing one of the measures that are listed in other parts of this document of our discussion . So not doing what we see as the proper way forward in addressing the risk surrounding autonomous weapon systems is not a risk per se but this is just something of a side note . What we see I think what might be useful if we have this debate is to do a little bit of a grouping . What we see are like Mexico before us , a set of broader security risks that are also more broadly linked to our work here . There is an overall humanitarian concern as the risk of humans losing control of armed conflict while it is humans who will continue to bear the consequences of armed conflict . This has been mentioned in the past already through a number of Delegations also that there is a risk towards peace and security and a possible arms race . There is the risk of proliferation as to use of autonomous weapon systems by non-state actors seems a very high risk once the Pandora's box is open . There is also as Mexico has mentioned a risk from integrating AI in broader weapon systems but I think we have addressed this in our discussion when we have discussed AI as functions of other weapon systems . Closest to our work are probably those risks that relate to IHL implementation and those are , of course , unintended engagement , unpredictability , incidental loss of life , injuries to civilians and damage to civilian objects resulting from the use of weapon systems as such , loss of control of the system . And in this regard we also want to stress that the risks of unpredictability of a weapon systems caused by self learning and the black box problem would not only violate IHL but could impact the military utilities since no military has use for weapon systems it cannot control . There are specific security risks related to the weapon systems , cyber threats , spoofing , using other AI specific vulnerabilities and then there is this more broader AI risk list that has also already been mentioned that relates to , again , the black box problem , automation bias , discrimination for building bias and risks related to datasets , risks regarding the integrity , quality and veracity of data that is used . This also relates a little bit to the interaction between the military or the state side and the private sector . And then there is also a risk that stems from a lack of adequate training of personnel on all relevant levels and on a more broader scale also the skills degradation . These are just some general risks that we wanted to list under this topic . Many of those risks can be mitigated or even eliminated by human control and others , this is also clear , would mostly be mitigated through legal reviews , through measures on the national level as well . There is many risks but also many different ways on addressing them . In our view , the human control is already a very big aspect of this and does a lot of good work . Thank you .",Western European and other States,Yes
RUSSIAN FEDERATION,16:04:00,2024-03-06,0:09:09,"Thank you very much , Distinguished Chair . We also would like to share our comments and our thoughts on the issue of risks related to lethal autonomous weapon systems . First of all , some general comments on the theme of risks in general and how this issue is related to the mandate of our group . We believe that the discussion on risks related to autonomous weapon systems this discussion is not really directly related to the mandate of this group . It is just a first step towards the consideration of measures on the regulation or removal of risks connected to such weapon systems because our main objective as we understand it is to discuss potential measures that may be adopted to be applied to such systems . Moreover , the question of risks is something that we believe should be balanced when we take our approach to this issue . When we talk about risks , we should not forget that the use of lethal autonomous weapon systems in comparison to other weapons systems that are being employed during military conflicts , this use may represent some advantages and provide some opportunities in the context of compliance and implementation of the principles and norms of IHL . Specifically , we are convinced that lethal autonomous weapon systems can demonstrate greater levels of effectiveness than a human operator in solving the objectives that were set and reduce any errors . In particular , such systems are capable to seriously reduce the negative consequences of the use of weapons in the context of IHL related to operator errors , the psychological and physical condition of the human being , moral , religious and ethical considerations . Their employment in line with IHL may increase the precision of attacks against military objects and may contribute to reduce the probability of unintentional strikes against civilians and against civilian objects . We believe that all of these advantages together with the risks that we are discussing right now should be taken into consideration by our group as we discuss any specific measures that can be applied to lethal autonomous weapon systems . Now , on the question of risks , we would like to especially highlight such risks that directly relate to these weapon systems and do indeed represent a reason why we need to give additional consideration to them in the context of compliance with IHL . And the risks are as follows : The use of weapon systems with artificial intelligence or lethal autonomous weapon systems that these systems end up in the hands of non-state actors , including terrorist formations and some of the bullets on the screen are connected with this issue and they could be kept here . We welcome the fact that they are represented in this list . Another risk that requires our attention is the loss of control over a system as a result of a technical malfunction or break - in or the reprogramming of a system by malicious actors . And we see that some of the bullet points on the screen is related to this risk . And we are ready to work with these ideas because they do require that delegations give attention to this as we discuss and agree to specific measures related to mitigation of risks connected to laws . And as a third risk that we would like to highlight is something related to the taking by the system or by the operator of erroneous decisions . And when we refer to these three types of risks , we believe that through this type of language , we actually are covering all the bullet points that you see on the screen because the questions of human judgment , the questions related to the behavior of systems , as well as the notions of predictability , reliability , we believe that they all boil down to the risks that I referred to . And they relate to a situation where a system or the operator can take an erroneous decision . We believe that this is exactly what we should focus on as we discuss the different measures to regulate or remove such risks . And here we would like to stress and also join what other Delegations said before us , saying that the discussion of all the questions related to the mitigation of risks , all of this should be done with a direct connection or link to existing international humanitarian law and ensuring compliance under IHL , keeping in mind the certain technical features of lethal autonomous weapon systems . Thank you .",Eastern European States,Yes
PAKISTAN,16:13:33,2024-03-06,0:07:58,"Thank you , Chair . Chair , on the question of risk mitigation and confidence building , first we would briefly describe what our understanding of risk mitigation and confidence building measures is . We in our past work , we have always understood that these measures do not exist in isolation and specifically in this body in which we are working in CCW , whenever we have had discussions , we have always held this view that the purpose , the main purpose of this body is codification of existing law , progressive development of law , mainly IHL , the international law of armed conflict and in that context , the best way to mitigate the risks are to address directly the challenges in a way we have addressed them in the past . However , having said that , there is certainly value in the risk mitigation measures as long as they are linked with something , as long as they are complementary to something . They are not existing in silo or in a vacuum . If we look at the examples of past , as you have also pointed out , Chair , that we are not starting from scratch . We have to build upon our previous work . We see in the existing protocols also in protocol 5 , for instance , there is a technical annex which talks about best practices , which talks about different practices that need to be instituted at the state level . For instance , for greater compliance of Article 4 , Article 5 and Article 9 of the protocol 5 . So in that way it is very clear that those kind of best practices are rooted in that protocol . Second point would be that what my distinguished colleague from the Russian Federation has stated , I would very much agree with the characterization that while the work that we are doing under this topic is not directly linked with the mandate which the GGE has been tasked to do , at the same time it is very much the start at the outset , the commencement of our work because if we are going to be addressing the challenges , we need to be cognizant of what those challenges and risks are . So it is very pertinent that we are addressing this issue right at the outset during the first week . And we are also very pleased to see the first question that you have outlined where you are inviting the Delegates to share what are those possible risks in this area . Then next I would just like to endorse some of the points that have been made by Mexico , for instance , that when we are talking about the risks , I think it would be better that we go in a holistic , in a comprehensive manner and in a structured manner as well . We understand that the text , for instance , that is on the screen is not something that the Chair has himself proposed but is coming directly from the submissions that have been put forward by the state parties . I think going forward it would be valuable if we are able to structure our risks in a manner in which we have done in the past as well and in a manner in which they have been proposed and raised in this body . Here I would very much like to agree with our Distinguished Colleague from the US who also pointed out under other topic that if we are able to follow this kind of structured methodology under various topics , we would be able to perhaps narrow down our points of convergences . So when we talk about different categories of risks , we understand that some of them or most of them on the screen that have been presented are mostly a result of different omissions or different actions that the states , parties or users or operators , if they are unable to take those actions in terms of development , deployment or use of these weapon systems , what those risks could result in . At the same time , we would like to highlight that we would like to categorize these risks under what was described as humanitarian , ethical and security considerations . I think that would give us greater clarity . From what we see , many of the risks that are already on the screen could be parked in one of those categories right now . One category I think that we need to take stock of is the risks under the category of security considerations . This is very much pertinent to the work that we have been doing in the past as well . When the work started in the informal body of experts in 2014 and the report that we all adopted by consensus in 2016 , the group identified what those possible risks from the security angle would be which merited further study and consideration . I would just read them out here . The risk of an arms race , the effects on the threshold for armed conflicts , the effects on regional and global security and stability and proliferation risks including to and by non-state actors and risks posed by cyber operations in relation to laws . So this was what the group agreed by consensus in 2016 . Then going forward , we also saw that very comprehensive discussions took place in 2019 in that GGE as well in which there was broader understanding and convergence of these risks under security considerations and some of them we were able to allude to , refer to in our guiding principles as well which you have detailed in your opening remarks . In 2021 in the Chair's summary under an exclusive agenda item as well and then in 2023 when we had the discussions on the negotiation of the report , we had a separate section on risk mitigation . So these conversations have been taking place for a while . It is important that at this stage we are able to take stock of all of these conversations and proposals in a more holistic manner and park all of these risks which have been brought up by different high contracting parties under these three categories , humanitarian , ethical and security considerations . I would just like to briefly subscribe also to the views that have been expressed by Mexico , Austria as well relating to humanitarian category and ethical considerations as well , the risks that they have very eloquently elaborated upon . So we have going and based on this categorization we have comments to offer as well on what measures are needed for those risks but I believe that is a question that I think you would perhaps would like to address it under the second question when we go to that . Thank you . Thank you very much for that .",Asia-Pacific States,Yes
